ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
tokyoplay,,,positive,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.289, NEG: 0.213})"
museo regional de cholula,ocurrio nunca autorizo presupuesto proyecto incluyeron termine cuidando salas exposicion,lo que ocurrio es que nunca se autorizo el presupuesto para el proyecto en el que me incluyeron termine cuidando salas de exposicion ,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.783, NEU: 0.205, POS: 0.012})"
guru the brand buro,excelente experiencia vivi practicas profesion organizacion guru the brand buro realmente creo aprendi equipo involucraron aprendieramos experiencia,fue una excelente experiencia la que vivi en practicas en la profesion con mi organizacion en guru the brand buro realmente creo que aprendi mucho y que todos los del equipo se involucraron en que aprendieramos durante esta experiencia ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.940, NEU: 0.055, NEG: 0.005})"
ipam,organizacion contacto mas inicio semestre dieron ninguna clase alimentacion trabajo entiendo problemas administrativos proceso mantuvieron lado cuerdo cumplieron compromiso udlap practicantes,la organizacion no tuvo contacto con nosotras mas que al inicio del semestre y no nos dieron ninguna clase de alimentacion durante el trabajo entiendo que hubo problemas administrativos durante el proceso pero no mantuvieron su lado del cuerdo ni cumplieron su compromiso con udlap o con nosotras como practicantes,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.650, NEG: 0.285, POS: 0.065})"
ipam,organizacion perdio contacto partir mitad semestre mayor retroalimentacion acompanamiento parte dra myrna iglesias retroalimentacion si util organizacion dio seguimiento proyecto,la organizacion perdio contacto con nosotras a partir de la mitad del semestre y la mayor retroalimentacion y acompanamiento fue por parte de la dra myrna iglesias esa retroalimentacion si fue util pero la organizacion dio muy poco seguimiento a nuestro proyecto ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.851, NEG: 0.118, POS: 0.031})"
ipam,contacto continuo parte supervisor dejo trabajando deriva,no hubo un contacto continuo por parte de nuestro supervisor nos dejo trabajando a la deriva,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.858, NEG: 0.120, POS: 0.022})"
lado b,creo organizacion realice practicas excelente estudiantes aprendamos capacitemos,creo que la organizacion en la que realice mis practicas es excelente para que los estudiantes aprendamos y nos capacitemos,positive,"AnalyzerOutput(output=POS, probas={POS: 0.659, NEU: 0.326, NEG: 0.015})"
grupo eon,fecha inicio practicas agosto,la fecha de inicio de practicas fue el  de agosto ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.843, POS: 0.106, NEG: 0.051})"
troop unit,buen lugar realizar practicas,muy buen lugar para realizar tus practicas,positive,"AnalyzerOutput(output=POS, probas={POS: 0.899, NEU: 0.098, NEG: 0.004})"
zaloa lenguages,gusta,nada me gusta,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.517, NEG: 0.313, POS: 0.169})"
contenedora n,logre aprender diferentes aspectos carrera,logre aprender sobre diferentes aspectos en mi carrera,positive,"AnalyzerOutput(output=POS, probas={POS: 0.811, NEU: 0.179, NEG: 0.010})"
consorcio mexicano de la llave,sugerencia mucha gente deberian dejar trabajos extras universidad si valgan menos,una sugerencia que tengo que y mucha gente tiene es que no nos deberian de dejar trabajos extras en la universidad o si pero que valgan menos ,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.674, NEU: 0.315, POS: 0.011})"
grupo oro,permitio trabajar casa i computadora gran tira permitia organizar mejor horarios practicas trabajo escuela,se me permitio trabajar en casa en i computadora y eso fue de gran tira y ya que me permitia organizar mejor mis horarios entre practicas trabajo y escuela ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.545, POS: 0.435, NEG: 0.020})"
nami studios,importante ningun momento acorde organizacion recibir ciertos beneficios mencionan encuesta respondi pregunta,"importante 
en ningun momento acorde con la organizacion recibir ciertos beneficios como los que se mencionan en la encuesta por eso respondi que no a la pregunta ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.806, NEG: 0.175, POS: 0.019})"
los otros puertos,escribo fecha limite noviembre dice carta inicio embargo pretendo trabajar rato mas proyecto,escribo la fecha limite de  de noviembre porque eso es lo que dice en la carta de inicio sin embargo pretendo trabajar un rato mas en este proyecto ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.804, NEG: 0.177, POS: 0.018})"
nami studios,discutio temas transporte,no se discutio sobre temas de transporte ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.537, NEG: 0.360, POS: 0.103})"
imagen radio,lamentablemente ser repetidora radiodifusora roles establecidos trabajo suele volverse monotono quiza mejor opcion desarollar ciertas habilidades claro trabajas,"lamentablemente al ser una repetidora la radiodifusora ya tiene los roles muy establecidos y el trabajo suele volverse monotono 

quiza no es la mejor opcion para desarollar ciertas habilidades pero claro que trabajas algunas ",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.601, NEG: 0.381, POS: 0.017})"
grupo oro,deberian ponerlos area produccion estudiamos promocion,deberian de ponerlos en la area de produccion es lo que estudiamos no en promocion ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.860, NEG: 0.090, POS: 0.050})"
sat puebla,incomodo llegar instalaciones cuenten espacio si quiera poner computadora poder realizar actividades literalmente sillas esquina debes compartir espacio pasantes pido toda mesa espacio solo si lugar designado menos puedas realizar actividades forma mas comoda,es incomodo llegar a las instalaciones y que no cuenten con un espacio si quiera en donde poner tu computadora o poder realizar tus actividades literalmente tienen sillas en una esquina donde debes compartir espacio con otros pasantes no pido que tengas toda una mesa o espacio para ti solo pero si un lugar designado para que al menos puedas realizar tus actividades de forma un poco mas comoda,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.764, NEU: 0.226, POS: 0.010})"
frame lawyers,excelente despacho quedo satisfecha aprendido,excelente despacho quedo satisfecha con todo lo que he aprendido ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.956, NEU: 0.039, NEG: 0.005})"
